,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
91,2008-08-31,340800637.49092185,385846144.3481787,408021014.57125133,340800637.49092185,340800637.49092185,56048801.96241196,56048801.96241196,56048801.96241196,56048801.96241196,56048801.96241196,56048801.96241196,0.0,0.0,0.0,396849439.4533338
92,2008-09-30,340782879.58747894,329774897.727973,351402745.87497276,340782879.58747894,340782879.58747894,596739.6825917291,596739.6825917291,596739.6825917291,596739.6825917291,596739.6825917291,596739.6825917291,0.0,0.0,0.0,341379619.2700707
93,2008-10-31,340764529.7539213,306164751.201259,329390371.80653536,340764529.7539213,340764529.7539213,-23365921.394571282,-23365921.394571282,-23365921.394571282,-23365921.394571282,-23365921.394571282,-23365921.394571282,0.0,0.0,0.0,317398608.35934997
94,2008-11-30,340746771.8504784,295875552.3159871,319572164.9990311,340746771.8504784,340746771.8504784,-33130237.304346777,-33130237.304346777,-33130237.304346777,-33130237.304346777,-33130237.304346777,-33130237.304346777,0.0,0.0,0.0,307616534.5461316
95,2008-12-31,340728422.01692075,335415708.5170657,357810842.91449875,340728422.01692075,340728422.01692075,6188313.08686272,6188313.08686272,6188313.08686272,6188313.08686272,6188313.08686272,6188313.08686272,0.0,0.0,0.0,346916735.1037835
96,2009-01-31,340710072.18336314,344544797.02828187,367691047.95645285,340710072.18336314,340710072.18336314,14994642.738962566,14994642.738962566,14994642.738962566,14994642.738962566,14994642.738962566,14994642.738962566,0.0,0.0,0.0,355704714.92232573
97,2009-02-28,340693498.1401497,301910046.2909082,324536730.76958954,340693498.1401497,340693498.1401497,-26771842.737699326,-26771842.737699326,-26771842.737699326,-26771842.737699326,-26771842.737699326,-26771842.737699326,0.0,0.0,0.0,313921655.4024504
98,2009-03-31,340675148.3065921,307239823.0868162,328874935.94663787,340675148.3065921,340675148.3065921,-22433474.547415037,-22433474.547415037,-22433474.547415037,-22433474.547415037,-22433474.547415037,-22433474.547415037,0.0,0.0,0.0,318241673.7591771
99,2009-04-30,340657390.4031492,284871426.0816966,308668419.4778744,340657390.4031492,340657390.4031492,-43410891.50623158,-43410891.50623158,-43410891.50623158,-43410891.50623158,-43410891.50623158,-43410891.50623158,0.0,0.0,0.0,297246498.8969176
100,2009-05-31,340639040.5695915,313870783.74057764,337327478.7611365,340639040.5695915,340639040.5695915,-14820608.855380395,-14820608.855380395,-14820608.855380395,-14820608.855380395,-14820608.855380395,-14820608.855380395,0.0,0.0,0.0,325818431.7142111
101,2009-06-30,340621969.3445376,353107155.8634009,375913002.2305338,340621969.3445376,340621969.3445376,22860782.628643114,22860782.628643114,22860782.628643114,22860782.628643114,22860782.628643114,22860782.628643114,0.0,0.0,0.0,363482751.9731807
102,2009-07-31,340604329.07864857,391255233.39544374,413965469.6152784,340604329.07864857,340604329.07864857,62890825.450185195,62890825.450185195,62890825.450185195,62890825.450185195,62890825.450185195,62890825.450185195,0.0,0.0,0.0,403495154.52883375
103,2009-08-31,340586688.8127595,387386941.8863596,409953991.484291,340586688.8127595,340586688.8127595,57917918.21812893,57917918.21812893,57917918.21812893,57917918.21812893,57917918.21812893,57917918.21812893,0.0,0.0,0.0,398504607.03088844
104,2009-09-30,340569617.58770555,331321785.1892117,354121322.03468686,340569617.58770555,340569617.58770555,2134739.0445396835,2134739.0445396835,2134739.0445396835,2134739.0445396835,2134739.0445396835,2134739.0445396835,0.0,0.0,0.0,342704356.63224524
